开始时间,结束时间,车号,出货单号,盘号,强度等级,坍落度值
2021-10-20 08:55:02,2021-10-20 08:55:32,大12,63324,1,C25,210.0
2021-10-20 08:55:02,2021-10-20 08:55:32,大12,63324,1,C25,
2021-10-20 08:56:54,2021-10-20 08:57:24,大12,63324,2,C25,220.0
2021-10-20 08:56:54,2021-10-20 08:57:24,大12,63324,2,C25,
2021-10-20 08:58:47,2021-10-20 08:59:17,大12,63324,3,C25,220.0
2021-10-20 08:58:47,2021-10-20 08:59:17,大12,63324,3,C25,
2021-10-20 09:00:39,2021-10-20 09:01:09,大12,63324,4,C25,220.0
2021-10-20 09:00:39,2021-10-20 09:01:09,大12,63324,4,C25,
2021-10-20 11:47:38,2021-10-20 11:48:08,大15,63395,1,C25,220.0
2021-10-20 11:47:38,2021-10-20 11:48:08,大15,63395,1,C25,
2021-10-20 11:49:31,2021-10-20 11:50:01,大15,63395,2,C25,220.0
2021-10-20 11:49:31,2021-10-20 11:50:01,大15,63395,2,C25,220.0
2021-10-20 11:51:24,2021-10-20 11:51:54,大15,63395,3,C25,220.0
2021-10-20 11:51:24,2021-10-20 11:51:54,大15,63395,3,C25,
2021-10-20 11:53:19,2021-10-20 11:53:49,大15,63395,4,C25,210.0
2021-10-20 11:53:19,2021-10-20 11:53:49,大15,63395,4,C25,
2021-10-20 15:27:33,2021-10-20 15:28:03,大20,63486,1,C25,220.0
2021-10-20 15:27:33,2021-10-20 15:28:03,大20,63486,1,C25,
2021-10-20 15:29:26,2021-10-20 15:29:56,大20,63486,2,C25,220.0
2021-10-20 15:29:26,2021-10-20 15:29:56,大20,63486,2,C25,
2021-10-20 15:31:20,2021-10-20 15:31:50,大20,63486,3,C25,220.0
2021-10-20 15:31:20,2021-10-20 15:31:50,大20,63486,3,C25,
2021-10-20 15:33:12,2021-10-20 15:33:42,大20,63486,4,C25,220.0
2021-10-20 15:33:12,2021-10-20 15:33:42,大20,63486,4,C25,
2021-10-20 06:57:26,2021-10-20 06:57:56,大18,63283,1,C30,230.0
2021-10-20 06:57:26,2021-10-20 06:57:56,大18,63283,1,C30,
2021-10-20 06:59:14,2021-10-20 06:59:44,大18,63283,2,C30,230.0
2021-10-20 06:59:14,2021-10-20 06:59:44,大18,63283,2,C30,
2021-10-20 07:01:25,2021-10-20 07:01:55,大18,63283,3,C30,230.0
2021-10-20 07:01:25,2021-10-20 07:01:55,大18,63283,3,C30,
2021-10-20 07:03:50,2021-10-20 07:04:20,大18,63283,4,C30,230.0
2021-10-20 07:03:50,2021-10-20 07:04:20,大18,63283,4,C30,
2021-10-20 11:35:59,2021-10-20 11:36:29,05,63391,1,C30,220.0
2021-10-20 11:35:59,2021-10-20 11:36:29,05,63391,1,C30,
2021-10-20 11:37:57,2021-10-20 11:38:27,05,63391,2,C30,220.0
2021-10-20 11:37:57,2021-10-20 11:38:27,05,63391,2,C30,220.0
2021-10-20 11:39:54,2021-10-20 11:40:24,05,63391,3,C30,220.0
2021-10-20 11:39:54,2021-10-20 11:40:24,05,63391,3,C30,
2021-10-20 11:41:52,2021-10-20 11:42:22,05,63391,4,C30,220.0
2021-10-20 11:41:52,2021-10-20 11:42:22,05,63391,4,C30,
2021-10-20 13:46:59,2021-10-20 13:47:29,47,63445,1,C30,220.0
2021-10-20 13:46:59,2021-10-20 13:47:29,47,63445,1,C30,
2021-10-20 13:48:57,2021-10-20 13:49:27,47,63445,2,C30,220.0
2021-10-20 13:48:57,2021-10-20 13:49:27,47,63445,2,C30,
2021-10-20 14:50:41,2021-10-20 14:51:11,45,63469,1,C30,220.0
2021-10-20 14:50:41,2021-10-20 14:51:11,45,63469,1,C30,
2021-10-20 14:52:38,2021-10-20 14:53:08,45,63469,2,C30,220.0
2021-10-20 14:52:38,2021-10-20 14:53:08,45,63469,2,C30,
2021-10-20 14:54:35,2021-10-20 14:55:05,45,63469,3,C30,220.0
2021-10-20 14:54:35,2021-10-20 14:55:05,45,63469,3,C30,220.0
2021-10-20 05:46:12,2021-10-20 05:46:42,6,63257,1,C30P6,220.0
2021-10-20 05:46:12,2021-10-20 05:46:42,6,63257,1,C30P6,220.0
2021-10-20 05:47:57,2021-10-20 05:48:27,6,63257,2,C30P6,220.0
2021-10-20 05:47:57,2021-10-20 05:48:27,6,63257,2,C30P6,
2021-10-20 05:50:14,2021-10-20 05:50:44,6,63257,3,C30P6,220.0
2021-10-20 05:50:14,2021-10-20 05:50:44,6,63257,3,C30P6,
2021-10-20 05:52:34,2021-10-20 05:53:04,6,63257,4,C30P6,220.0
2021-10-20 05:52:34,2021-10-20 05:53:04,6,63257,4,C30P6,220.0
2021-10-20 07:53:04,2021-10-20 07:53:34,56,63302,3,C30P6,230.0
2021-10-20 07:55:02,2021-10-20 07:55:32,56,63302,4,C30P6,230.0
2021-10-20 07:59:22,2021-10-20 07:59:52,06,63305,1,C30P6,230.0
2021-10-20 08:01:44,2021-10-20 08:02:14,06,63305,2,C30P6,230.0
2021-10-20 08:03:57,2021-10-20 08:04:27,06,63305,3,C30P6,230.0
2021-10-20 08:05:58,2021-10-20 08:06:28,06,63305,4,C30P6,230.0
2021-10-20 08:10:17,2021-10-20 08:10:47,41,63308,1,C30P6,230.0
2021-10-20 08:14:22,2021-10-20 08:14:52,41,63308,3,C30P6,230.0
2021-10-20 08:16:19,2021-10-20 08:16:49,41,63308,4,C30P6,230.0
2021-10-20 08:20:13,2021-10-20 08:20:43,39,63313,1,C30P6,230.0
2021-10-20 08:22:15,2021-10-20 08:22:45,39,63313,2,C30P6,230.0
2021-10-20 08:24:13,2021-10-20 08:24:43,39,63313,3,C30P6,230.0
2021-10-20 08:26:10,2021-10-20 08:26:40,39,63313,4,C30P6,230.0
2021-10-20 08:29:01,2021-10-20 08:29:31,08,63315,1,C30P6,230.0
2021-10-20 08:30:58,2021-10-20 08:31:28,08,63315,2,C30P6,230.0
2021-10-20 08:32:55,2021-10-20 08:33:25,08,63315,3,C30P6,230.0
2021-10-20 08:34:53,2021-10-20 08:35:23,08,63315,4,C30P6,230.0
2021-10-20 09:05:43,2021-10-20 09:06:13,48,63328,1,C30P6,230.0
2021-10-20 09:07:41,2021-10-20 09:08:11,48,63328,2,C30P6,230.0
2021-10-20 09:09:38,2021-10-20 09:10:08,48,63328,3,C30P6,230.0
2021-10-20 09:11:36,2021-10-20 09:12:06,48,63328,4,C30P6,230.0
2021-10-20 09:13:37,2021-10-20 09:14:07,36,63332,1,C30P6,230.0
2021-10-20 09:15:34,2021-10-20 09:16:04,36,63332,2,C30P6,230.0
2021-10-20 09:18:51,2021-10-20 09:19:21,36,63332,3,C30P6,230.0
2021-10-20 09:20:49,2021-10-20 09:21:19,36,63332,4,C30P6,230.0
2021-10-20 09:23:52,2021-10-20 09:24:22,大30,63336,1,C30P6,230.0
2021-10-20 09:25:49,2021-10-20 09:26:19,大30,63336,2,C30P6,230.0
2021-10-20 09:27:46,2021-10-20 09:28:16,大30,63336,3,C30P6,230.0
2021-10-20 09:29:44,2021-10-20 09:30:14,大30,63336,4,C30P6,230.0
2021-10-20 09:31:41,2021-10-20 09:32:11,大30,63336,5,C30P6,230.0
2021-10-20 09:34:37,2021-10-20 09:35:07,07,63339,1,C30P6,230.0
2021-10-20 09:36:34,2021-10-20 09:37:04,07,63339,2,C30P6,230.0
2021-10-20 09:38:31,2021-10-20 09:39:01,07,63339,3,C30P6,230.0
2021-10-20 09:41:17,2021-10-20 09:41:47,07,63339,4,C30P6,230.0
2021-10-20 09:43:23,2021-10-20 09:43:53,38,63344,1,C30P6,230.0
2021-10-20 09:45:21,2021-10-20 09:45:51,38,63344,2,C30P6,230.0
2021-10-20 09:47:18,2021-10-20 09:47:48,38,63344,3,C30P6,230.0
2021-10-20 09:49:16,2021-10-20 09:49:46,38,63344,4,C30P6,230.0
2021-10-20 09:52:52,2021-10-20 09:53:22,21,63351,1,C30P6,230.0
2021-10-20 09:54:50,2021-10-20 09:55:20,21,63351,2,C30P6,230.0
2021-10-20 09:56:47,2021-10-20 09:57:17,21,63351,3,C30P6,230.0
2021-10-20 09:58:45,2021-10-20 09:59:15,21,63351,4,C30P6,230.0
2021-10-20 10:10:32,2021-10-20 10:11:02,47,63356,1,C30P6,230.0
2021-10-20 10:14:27,2021-10-20 10:14:57,47,63356,3,C30P6,230.0
2021-10-20 10:16:24,2021-10-20 10:16:54,47,63356,4,C30P6,230.0
2021-10-20 10:19:51,2021-10-20 10:20:21,大19,63359,1,C30P6,230.0
2021-10-20 10:21:48,2021-10-20 10:22:18,大19,63359,2,C30P6,230.0
2021-10-20 10:23:46,2021-10-20 10:24:16,大19,63359,3,C30P6,210.0
2021-10-20 10:25:43,2021-10-20 10:26:13,大19,63359,4,C30P6,210.0
2021-10-20 10:27:40,2021-10-20 10:28:10,大19,63359,5,C30P6,230.0
2021-10-20 10:30:46,2021-10-20 10:31:16,41,63362,1,C30P6,230.0
2021-10-20 10:32:43,2021-10-20 10:33:13,41,63362,2,C30P6,230.0
2021-10-20 10:34:41,2021-10-20 10:35:11,41,63362,3,C30P6,230.0
2021-10-20 10:36:38,2021-10-20 10:37:08,41,63362,4,C30P6,230.0
2021-10-20 10:40:12,2021-10-20 10:40:42,45,63368,1,C30P6,230.0
